"StateFIPS","State","Year","Value","Data Comment",
"04","Arizona","2006","6,385,743","",
"04","Arizona","2007","6,390,266","",
"04","Arizona","2008","6,390,688","",
"04","Arizona","2009","6,394,767","",
"04","Arizona","2010","6,395,258","",
"04","Arizona","2011","6,399,145","",
"04","Arizona","2012","6,399,534","",
"04","Arizona","2013","6,399,564","",
"04","Arizona","2014","6,399,564","",
"04","Arizona","2015","6,400,153","",
"04","Arizona","2016","6,400,531","",
"04","Arizona","2017","6,407,959","",
"04","Arizona","2018","6,480,701","",
"04","Arizona","2019","6,508,114","",
"04","Arizona","2020","6,563,666","",
"04","Arizona","2021","6,678,979","",
"04","Arizona","2022","6,802,426","",
"04","Arizona","2023","6,880,236","",
"06","California","1999","34,938,616","",
"06","California","2000","34,982,115","",
"06","California","2001","35,989,579","",
"06","California","2002","36,427,824","",
"06","California","2003","42,109,090","",
"06","California","2004","42,183,613","",
"06","California","2005","42,277,601","",
"06","California","2006","39,678,342","",
"06","California","2007","39,957,597","",
"06","California","2008","40,192,641","",
"06","California","2009","41,009,912","",
"06","California","2010","41,032,941","",
"06","California","2011","41,029,373","",
"06","California","2012","41,012,626","",
"06","California","2013","41,174,594","",
"06","California","2014","41,174,437","",
"06","California","2015","41,173,094","",
"06","California","2016","40,448,289","",
"06","California","2017","41,754,074","",
"06","California","2018","41,200,551","",
"06","California","2019","39,433,114","",
"06","California","2020","39,805,923","",
"06","California","2021","39,624,355","",
"06","California","2022","39,540,039","",
"06","California","2023","36,311,231","",
"08","Colorado","1999","6,009,119","",
"08","Colorado","2000","6,009,119","",
"08","Colorado","2001","6,009,037","",
"08","Colorado","2002","6,009,119","",
"08","Colorado","2003","6,009,119","",
"08","Colorado","2004","6,009,119","",
"08","Colorado","2005","6,009,074","",
"08","Colorado","2006","6,009,037","",
"08","Colorado","2007","6,009,074","",
"08","Colorado","2008","6,009,074","",
"08","Colorado","2009","6,009,074","",
"08","Colorado","2010","6,009,118","",
"08","Colorado","2011","6,009,118","",
"08","Colorado","2012","5,220,316","",
"08","Colorado","2013","5,261,460","",
"08","Colorado","2014","5,263,167","",
"08","Colorado","2015","5,263,167","",
"08","Colorado","2016","5,662,264","",
"08","Colorado","2017","5,662,252","",
"08","Colorado","2018","5,667,042","",
"08","Colorado","2019","5,183,366","",
"08","Colorado","2020","6,641,350","",
"08","Colorado","2021","6,413,983","",
"08","Colorado","2022","6,460,116","",
"08","Colorado","2023","6,548,966","",
"09","Connecticut","2000","2,664,364","",
"09","Connecticut","2001","2,664,364","",
"09","Connecticut","2002","2,664,364","",
"09","Connecticut","2003","2,664,364","",
"09","Connecticut","2004","2,664,364","",
"09","Connecticut","2005","2,664,364","",
"09","Connecticut","2006","2,664,364","",
"09","Connecticut","2007","2,664,364","",
"09","Connecticut","2008","2,664,364","",
"09","Connecticut","2009","2,664,364","",
"09","Connecticut","2010","2,664,364","",
"09","Connecticut","2011","2,664,364","",
"09","Connecticut","2012","2,673,185","",
"09","Connecticut","2013","2,685,610","",
"09","Connecticut","2014","2,754,692","",
"09","Connecticut","2015","2,751,816","",
"09","Connecticut","2016","2,762,104","",
"09","Connecticut","2017","2,736,915","",
"09","Connecticut","2018","2,733,880","",
"09","Connecticut","2019","2,732,952","",
"09","Connecticut","2020","2,732,244","",
"09","Connecticut","2021","2,753,041","",
"09","Connecticut","2022","2,755,033","",
"09","Connecticut","2023","2,756,449","",
"10","Delaware","2000","940,010","",
"10","Delaware","2001","940,010","",
"10","Delaware","2002","937,283","",
"10","Delaware","2003","935,612","",
"10","Delaware","2004","902,891","",
"10","Delaware","2005","909,416","",
"10","Delaware","2006","910,503","",
"10","Delaware","2007","914,351","",
"10","Delaware","2008","916,542","",
"10","Delaware","2009","885,166","",
"10","Delaware","2010","917,721","",
"10","Delaware","2011","918,744","",
"10","Delaware","2012","887,669","",
"10","Delaware","2013","887,902","",
"10","Delaware","2014","886,247","",
"10","Delaware","2015","917,919","",
"10","Delaware","2016","906,882","",
"10","Delaware","2017","920,484","",
"10","Delaware","2018","920,193","",
"10","Delaware","2019","918,931","",
"10","Delaware","2020","916,398","",
"10","Delaware","2021","915,165","",
"10","Delaware","2022","920,099","",
"10","Delaware","2023","874,513","",
"12","Florida","1999","20,432,751","",
"12","Florida","2000","20,372,234","",
"12","Florida","2001","20,386,201","",
"12","Florida","2002","20,264,025","",
"12","Florida","2003","20,160,032","",
"12","Florida","2004","20,169,972","",
"12","Florida","2005","19,878,255","",
"12","Florida","2006","19,806,925","",
"12","Florida","2007","19,437,665","",
"12","Florida","2008","19,373,219","",
"12","Florida","2009","19,282,955","",
"12","Florida","2010","19,236,835","",
"12","Florida","2011","19,346,681","",
"12","Florida","2012","19,326,390","",
"12","Florida","2013","19,306,431","",
"12","Florida","2014","19,359,141","",
"12","Florida","2015","19,354,629","",
"12","Florida","2016","19,896,551","",
"12","Florida","2017","20,010,975","",
"12","Florida","2018","20,198,034","",
"12","Florida","2019","20,405,336","",
"12","Florida","2020","20,589,518","",
"12","Florida","2021","20,955,268","",
"12","Florida","2022","21,132,861","",
"12","Florida","2023","21,312,117","",
"18","Indiana","2022","5,083,097","",
"18","Indiana","2023","5,083,095","",
"19","Iowa","1999","2,370,181","",
"19","Iowa","2000","2,352,599","",
"19","Iowa","2001","2,349,976","",
"19","Iowa","2002","2,458,129","",
"19","Iowa","2003","2,494,821","",
"19","Iowa","2004","2,733,140","",
"19","Iowa","2005","2,744,749","",
"19","Iowa","2006","2,751,614","",
"19","Iowa","2007","2,729,866","",
"19","Iowa","2008","2,680,509","",
"19","Iowa","2009","2,745,961","",
"19","Iowa","2010","2,698,490","",
"19","Iowa","2011","2,679,229","",
"19","Iowa","2012","2,721,205","",
"19","Iowa","2013","2,751,937","",
"19","Iowa","2014","2,753,592","",
"19","Iowa","2015","2,761,831","",
"19","Iowa","2016","2,804,827","",
"19","Iowa","2017","2,803,690","",
"19","Iowa","2018","2,820,481","",
"19","Iowa","2019","2,819,999","",
"19","Iowa","2020","2,829,734","",
"19","Iowa","2021","2,918,862","",
"19","Iowa","2022","2,920,163","",
"19","Iowa","2023","2,926,735","",
"20","Kansas","1999","2,693,760","",
"20","Kansas","2000","2,693,760","",
"20","Kansas","2001","2,694,110","",
"20","Kansas","2002","2,694,110","",
"20","Kansas","2003","2,714,014","",
"20","Kansas","2004","2,712,274","",
"20","Kansas","2005","2,712,199","",
"20","Kansas","2006","2,711,681","",
"20","Kansas","2007","2,703,485","",
"20","Kansas","2008","2,703,760","",
"20","Kansas","2009","2,703,597","",
"20","Kansas","2010","2,703,999","",
"20","Kansas","2011","2,704,465","",
"20","Kansas","2012","2,704,465","",
"20","Kansas","2013","2,704,490","",
"20","Kansas","2014","2,704,330","",
"20","Kansas","2015","2,701,343","",
"20","Kansas","2016","2,698,769","",
"20","Kansas","2017","2,797,984","",
"20","Kansas","2018","2,804,362","",
"20","Kansas","2019","2,850,619","",
"20","Kansas","2020","2,831,908","",
"20","Kansas","2021","2,836,860","",
"20","Kansas","2022","2,848,044","",
"20","Kansas","2023","2,861,910","",
"21","Kentucky","1999","4,532,689","",
"21","Kentucky","2000","4,532,689","",
"21","Kentucky","2001","4,532,689","",
"21","Kentucky","2002","4,532,689","",
"21","Kentucky","2003","4,532,689","",
"21","Kentucky","2004","4,532,689","",
