"StateFIPS","State","Year","Value","Data Comment",
"01","Alabama","2000","64.19","",
"01","Alabama","2001","59.85","",
"01","Alabama","2002","66.36","",
"01","Alabama","2003","65.79","",
"01","Alabama","2004","60.39","",
"01","Alabama","2005","58.03","",
"01","Alabama","2006","59.24","",
"01","Alabama","2007","57.35","",
"01","Alabama","2008","55.44","",
"01","Alabama","2009","57.95","",
"01","Alabama","2010","54.37","",
"01","Alabama","2011","49.76","",
"01","Alabama","2012","49.34","",
"01","Alabama","2013","45.34","",
"01","Alabama","2014","40.02","",
"01","Alabama","2015","36.96","",
"01","Alabama","2016","36.35","",
"01","Alabama","2017","38.48","",
"02","Alaska","2000","0.80","Unstable",
"02","Alaska","2001","7.89","",
"02","Alaska","2002","32.07","",
"02","Alaska","2003","26.83","",
"02","Alaska","2004","32.31","",
"02","Alaska","2005","38.68","",
"02","Alaska","2006","31.99","",
"02","Alaska","2007","31.46","",
"02","Alaska","2008","29.82","",
"02","Alaska","2009","28.90","",
"02","Alaska","2010","26.19","",
"02","Alaska","2011","24.78","",
"02","Alaska","2012","24.22","",
"02","Alaska","2013","27.69","",
"02","Alaska","2014","25.92","",
"02","Alaska","2015","23.58","",
"02","Alaska","2016","23.73","",
"02","Alaska","2017","22.44","",
"04","Arizona","2000","33.87","",
"04","Arizona","2001","43.52","",
"04","Arizona","2002","38.19","",
"04","Arizona","2003","38.33","",
"04","Arizona","2004","40.76","",
"04","Arizona","2005","39.78","",
"04","Arizona","2006","42.23","",
"04","Arizona","2007","40.29","",
"04","Arizona","2008","41.27","",
"04","Arizona","2009","39.02","",
"04","Arizona","2010","37.65","",
"04","Arizona","2011","36.15","",
"04","Arizona","2012","32.76","",
"04","Arizona","2013","29.49","",
"04","Arizona","2014","29.64","",
"04","Arizona","2015","29.08","",
"04","Arizona","2016","27.33","",
"04","Arizona","2017","28.35","",
"05","Arkansas","2000","50.62","",
"05","Arkansas","2001","50.94","",
"05","Arkansas","2002","52.40","",
"05","Arkansas","2003","51.12","",
"05","Arkansas","2004","54.66","",
"05","Arkansas","2005","55.99","",
"05","Arkansas","2006","50.36","",
"05","Arkansas","2007","58.20","",
"05","Arkansas","2008","60.53","",
"05","Arkansas","2009","56.30","",
"05","Arkansas","2010","52.54","",
"05","Arkansas","2011","47.71","",
"05","Arkansas","2012","45.91","",
"05","Arkansas","2013","41.77","",
"05","Arkansas","2014","44.66","",
"05","Arkansas","2015","44.09","",
"05","Arkansas","2016","43.74","",
"05","Arkansas","2017","44.97","",
"06","California","2000","36.02","",
"06","California","2001","35.77","",
"06","California","2002","33.51","",
"06","California","2003","30.56","",
"06","California","2004","31.91","",
"06","California","2005","32.77","",
"06","California","2006","30.58","",
"06","California","2007","28.13","",
"06","California","2008","26.96","",
"06","California","2009","27.01","",
"06","California","2010","28.29","",
"06","California","2011","28.36","",
"06","California","2012","26.12","",
"06","California","2013","24.62","",
"06","California","2014","26.44","",
"06","California","2015","24.86","",
"06","California","2016","23.13","",
"06","California","2017","24.17","",
"08","Colorado","2000","29.93","",
"08","Colorado","2001","35.93","",
"08","Colorado","2002","36.68","",
"08","Colorado","2003","36.37","",
"08","Colorado","2004","40.35","",
"08","Colorado","2005","39.12","",
"08","Colorado","2006","38.09","",
"08","Colorado","2007","39.93","",
"08","Colorado","2008","35.44","",
"08","Colorado","2009","35.50","",
"08","Colorado","2010","35.82","",
"08","Colorado","2011","33.29","",
"08","Colorado","2012","26.01","",
"08","Colorado","2013","22.12","",
"08","Colorado","2014","23.74","",
"08","Colorado","2015","23.44","",
"08","Colorado","2016","20.49","",
"08","Colorado","2017","19.78","",
"09","Connecticut","2000","39.86","",
"09","Connecticut","2001","32.45","",
"09","Connecticut","2002","37.50","",
"09","Connecticut","2003","35.44","",
"09","Connecticut","2004","39.82","",
"09","Connecticut","2005","36.56","",
"09","Connecticut","2006","38.07","",
"09","Connecticut","2007","38.87","",
"09","Connecticut","2008","37.54","",
"09","Connecticut","2009","34.48","",
"09","Connecticut","2010","31.73","",
"09","Connecticut","2011","31.96","",
"09","Connecticut","2012","31.30","",
"09","Connecticut","2013","29.40","",
"09","Connecticut","2014","25.42","",
"09","Connecticut","2015","23.62","",
"09","Connecticut","2016","26.81","",
"09","Connecticut","2017","26.53","",
"10","Delaware","2000","35.61","",
"10","Delaware","2001","36.82","",
"10","Delaware","2002","37.71","",
"10","Delaware","2003","39.73","",
"10","Delaware","2004","36.71","",
"10","Delaware","2005","37.98","",
"10","Delaware","2006","44.11","",
"10","Delaware","2007","41.98","",
"10","Delaware","2008","39.49","",
"10","Delaware","2009","38.24","",
"10","Delaware","2010","35.68","",
"10","Delaware","2011","36.57","",
"10","Delaware","2012","35.99","",
"10","Delaware","2013","31.78","",
"10","Delaware","2014","30.49","",
"10","Delaware","2015","30.40","",
"10","Delaware","2016","31.17","",
"10","Delaware","2017","29.11","",
"11","District of Columbia","2000","42.65","",
"11","District of Columbia","2001","40.73","",
"11","District of Columbia","2002","37.51","",
"11","District of Columbia","2003","37.12","",
"11","District of Columbia","2004","39.98","",
"11","District of Columbia","2005","37.73","",
"11","District of Columbia","2006","40.48","",
"11","District of Columbia","2007","46.31","",
"11","District of Columbia","2008","48.60","",
"11","District of Columbia","2009","46.27","",
"11","District of Columbia","2010","47.60","",
"11","District of Columbia","2011","46.91","",
"11","District of Columbia","2012","42.48","",
"11","District of Columbia","2013","40.61","",
"11","District of Columbia","2014","35.56","",
"11","District of Columbia","2015","35.38","",
"11","District of Columbia","2016","30.69","",
"11","District of Columbia","2017","29.83","",
"12","Florida","2000","38.82","",
"12","Florida","2001","36.52","",
"12","Florida","2002","36.85","",
"12","Florida","2003","36.25","",
"12","Florida","2004","36.62","",
"12","Florida","2005","35.22","",
"12","Florida","2006","35.99","",
"12","Florida","2007","36.84","",
"12","Florida","2008","36.45","",
"12","Florida","2009","35.37","",
"12","Florida","2010","32.14","",
"12","Florida","2011","32.99","",
"12","Florida","2012","28.78","",
"12","Florida","2013","26.98","",
"12","Florida","2014","25.31","",
"12","Florida","2015","25.02","",
"12","Florida","2016","24.39","",
"12","Florida","2017","25.64","",
"13","Georgia","2000","61.71","",
"13","Georgia","2001","60.93","",
"13","Georgia","2002","56.63","",
"13","Georgia","2003","53.89","",
"13","Georgia","2004","54.67","",
"13","Georgia","2005","52.82","",
"13","Georgia","2006","52.72","",
"13","Georgia","2007","49.42","",
"13","Georgia","2008","49.53","",
"13","Georgia","2009","50.62","",
"13","Georgia","2010","49.02","",
"13","Georgia","2011","43.67","",
"13","Georgia","2012","41.89","",
"13","Georgia","2013","38.42","",
"13","Georgia","2014","35.37","",
"13","Georgia","2015","33.76","",
"13","Georgia","2016","32.04","",
"13","Georgia","2017","31.90","",
"15","Hawaii","2000","3.13","",
"15","Hawaii","2001","12.97","",
"15","Hawaii","2002","39.21","",
"15","Hawaii","2003","37.41","",
"15","Hawaii","2004","36.43","",
"15","Hawaii","2005","38.91","",
"15","Hawaii","2006","40.31","",
"15","Hawaii","2007","41.20","",
"15","Hawaii","2008","38.21","",
"15","Hawaii","2009","35.05","",
"15","Hawaii","2010","32.56","",
"15","Hawaii","2011","33.30","",
"15","Hawaii","2012","28.65","",
"15","Hawaii","2013","27.13","",
"15","Hawaii","2014","26.73","",
"15","Hawaii","2015","26.92","",
"15","Hawaii","2016","21.70","",
"15","Hawaii","2017","24.17","",
"16","Idaho","2000","50.25","",
"16","Idaho","2001","63.18","",
"16","Idaho","2002","57.45","",
"16","Idaho","2003","57.21","",
"16","Idaho","2004","55.61","",
"16","Idaho","2005","60.63","",
"16","Idaho","2006","60.94","",
"16","Idaho","2007","60.46","",
