"StateFIPS","State","Year","Value","Data Comment",
"01","Alabama","2000","0.04","Unstable",
"01","Alabama","2001","0.09","Unstable",
"01","Alabama","2002","0.02","Unstable",
"01","Alabama","2003","0.00","Unstable",
"01","Alabama","2004","0.13","Unstable",
"01","Alabama","2005","0.39","",
"01","Alabama","2006","0.02","Unstable",
"01","Alabama","2007","0.02","Unstable",
"01","Alabama","2008","0.06","Unstable",
"01","Alabama","2009","0.04","Unstable",
"01","Alabama","2010","0.00","Unstable",
"01","Alabama","2011","0.02","Unstable",
"01","Alabama","2012","0.08","Unstable",
"01","Alabama","2013","0.02","Unstable",
"01","Alabama","2014","0.06","Unstable",
"01","Alabama","2015","0.00","Unstable",
"01","Alabama","2016","0.02","Unstable",
"01","Alabama","2017","0.06","Unstable",
"02","Alaska","2000","0.00","Unstable",
"02","Alaska","2001","0.00","Unstable",
"02","Alaska","2002","0.00","Unstable",
"02","Alaska","2003","0.00","Unstable",
"02","Alaska","2004","0.00","Unstable",
"02","Alaska","2005","0.00","Unstable",
"02","Alaska","2006","0.00","Unstable",
"02","Alaska","2007","0.00","Unstable",
"02","Alaska","2008","0.15","Unstable",
"02","Alaska","2009","0.00","Unstable",
"02","Alaska","2010","0.00","Unstable",
"02","Alaska","2011","0.00","Unstable",
"02","Alaska","2012","0.00","Unstable",
"02","Alaska","2013","0.00","Unstable",
"02","Alaska","2014","0.00","Unstable",
"02","Alaska","2015","0.14","Unstable",
"02","Alaska","2016","0.00","Unstable",
"02","Alaska","2017","0.00","Unstable",
"04","Arizona","2000","0.04","Unstable",
"04","Arizona","2001","0.08","Unstable",
"04","Arizona","2002","0.11","Unstable",
"04","Arizona","2003","0.13","Unstable",
"04","Arizona","2004","0.14","Unstable",
"04","Arizona","2005","0.09","Unstable",
"04","Arizona","2006","0.00","Unstable",
"04","Arizona","2007","0.02","Unstable",
"04","Arizona","2008","0.00","Unstable",
"04","Arizona","2009","0.03","Unstable",
"04","Arizona","2010","0.02","Unstable",
"04","Arizona","2011","0.00","Unstable",
"04","Arizona","2012","0.17","Unstable",
"04","Arizona","2013","0.00","Unstable",
"04","Arizona","2014","0.04","Unstable",
"04","Arizona","2015","0.07","Unstable",
"04","Arizona","2016","0.09","Unstable",
"04","Arizona","2017","0.11","Unstable",
"05","Arkansas","2000","0.07","Unstable",
"05","Arkansas","2001","0.11","Unstable",
"05","Arkansas","2002","0.15","Unstable",
"05","Arkansas","2003","0.11","Unstable",
"05","Arkansas","2004","0.00","Unstable",
"05","Arkansas","2005","0.04","Unstable",
"05","Arkansas","2006","0.11","Unstable",
"05","Arkansas","2007","0.04","Unstable",
"05","Arkansas","2008","0.07","Unstable",
"05","Arkansas","2009","0.03","Unstable",
"05","Arkansas","2010","0.00","Unstable",
"05","Arkansas","2011","0.00","Unstable",
"05","Arkansas","2012","0.03","Unstable",
"05","Arkansas","2013","0.00","Unstable",
"05","Arkansas","2014","0.13","Unstable",
"05","Arkansas","2015","0.13","Unstable",
"05","Arkansas","2016","0.27","Unstable",
"05","Arkansas","2017","0.07","Unstable",
"06","California","2000","0.83","",
"06","California","2001","1.17","",
"06","California","2002","1.06","",
"06","California","2003","0.73","",
"06","California","2004","0.80","",
"06","California","2005","0.70","",
"06","California","2006","0.60","",
"06","California","2007","0.42","",
"06","California","2008","0.35","",
"06","California","2009","0.32","",
"06","California","2010","0.52","",
"06","California","2011","0.53","",
"06","California","2012","0.56","",
"06","California","2013","0.51","",
"06","California","2014","0.51","",
"06","California","2015","0.57","",
"06","California","2016","0.67","",
"06","California","2017","0.59","",
"08","Colorado","2000","0.05","Unstable",
"08","Colorado","2001","0.32","",
"08","Colorado","2002","0.20","Unstable",
"08","Colorado","2003","0.00","Unstable",
"08","Colorado","2004","0.13","Unstable",
"08","Colorado","2005","0.15","Unstable",
"08","Colorado","2006","0.15","Unstable",
"08","Colorado","2007","0.08","Unstable",
"08","Colorado","2008","0.10","Unstable",
"08","Colorado","2009","0.04","Unstable",
"08","Colorado","2010","0.00","Unstable",
"08","Colorado","2011","0.08","Unstable",
"08","Colorado","2012","0.10","Unstable",
"08","Colorado","2013","0.10","Unstable",
"08","Colorado","2014","0.02","Unstable",
"08","Colorado","2015","0.06","Unstable",
"08","Colorado","2016","0.09","Unstable",
"08","Colorado","2017","0.04","Unstable",
"09","Connecticut","2000","0.00","Unstable",
"09","Connecticut","2001","0.00","Unstable",
"09","Connecticut","2002","0.00","Unstable",
"09","Connecticut","2003","0.00","Unstable",
"09","Connecticut","2004","0.09","Unstable",
"09","Connecticut","2005","0.09","Unstable",
"09","Connecticut","2006","0.00","Unstable",
"09","Connecticut","2007","0.06","Unstable",
"09","Connecticut","2008","0.00","Unstable",
"09","Connecticut","2009","0.03","Unstable",
"09","Connecticut","2010","0.03","Unstable",
"09","Connecticut","2011","0.00","Unstable",
"09","Connecticut","2012","0.08","Unstable",
"09","Connecticut","2013","0.06","Unstable",
"09","Connecticut","2014","0.00","Unstable",
"09","Connecticut","2015","0.08","Unstable",
"09","Connecticut","2016","0.17","Unstable",
"09","Connecticut","2017","0.06","Unstable",
"10","Delaware","2000","0.00","Unstable",
"10","Delaware","2001","0.13","Unstable",
"10","Delaware","2002","0.00","Unstable",
"10","Delaware","2003","0.00","Unstable",
"10","Delaware","2004","0.24","Unstable",
"10","Delaware","2005","0.00","Unstable",
"10","Delaware","2006","0.00","Unstable",
"10","Delaware","2007","0.11","Unstable",
"10","Delaware","2008","0.00","Unstable",
"10","Delaware","2009","0.00","Unstable",
"10","Delaware","2010","0.00","Unstable",
"10","Delaware","2011","0.00","Unstable",
"10","Delaware","2012","0.11","Unstable",
"10","Delaware","2013","0.00","Unstable",
"10","Delaware","2014","0.00","Unstable",
"10","Delaware","2015","0.00","Unstable",
"10","Delaware","2016","0.10","Unstable",
"10","Delaware","2017","0.10","Unstable",
"11","District of Columbia","2000","0.00","Unstable",
"11","District of Columbia","2001","0.00","Unstable",
"11","District of Columbia","2002","0.00","Unstable",
"11","District of Columbia","2003","0.00","Unstable",
"11","District of Columbia","2004","0.00","Unstable",
"11","District of Columbia","2005","0.00","Unstable",
"11","District of Columbia","2006","0.00","Unstable",
"11","District of Columbia","2007","0.00","Unstable",
"11","District of Columbia","2008","0.00","Unstable",
"11","District of Columbia","2009","0.00","Unstable",
"11","District of Columbia","2010","0.17","Unstable",
"11","District of Columbia","2011","0.00","Unstable",
"11","District of Columbia","2012","0.00","Unstable",
"11","District of Columbia","2013","0.00","Unstable",
"11","District of Columbia","2014","0.15","Unstable",
"11","District of Columbia","2015","0.30","Unstable",
"11","District of Columbia","2016","0.00","Unstable",
"11","District of Columbia","2017","0.14","Unstable",
"12","Florida","2000","0.47","",
"12","Florida","2001","0.43","",
"12","Florida","2002","0.66","",
"12","Florida","2003","0.46","",
"12","Florida","2004","0.53","",
"12","Florida","2005","0.37","",
"12","Florida","2006","0.24","",
"12","Florida","2007","0.41","",
"12","Florida","2008","0.24","",
"12","Florida","2009","0.29","",
"12","Florida","2010","0.22","",
"12","Florida","2011","0.29","",
"12","Florida","2012","0.22","",
"12","Florida","2013","0.30","",
"12","Florida","2014","0.35","",
"12","Florida","2015","0.45","",
"12","Florida","2016","0.50","",
"12","Florida","2017","0.46","",
"13","Georgia","2000","0.02","Unstable",
"13","Georgia","2001","0.13","Unstable",
"13","Georgia","2002","0.19","",
"13","Georgia","2003","0.07","Unstable",
"13","Georgia","2004","0.18","",
"13","Georgia","2005","0.13","",
"13","Georgia","2006","0.14","",
"13","Georgia","2007","0.11","Unstable",
"13","Georgia","2008","0.11","Unstable",
"13","Georgia","2009","0.08","Unstable",
"13","Georgia","2010","0.11","Unstable",
"13","Georgia","2011","0.07","Unstable",
"13","Georgia","2012","0.07","Unstable",
"13","Georgia","2013","0.12","",
"13","Georgia","2014","0.17","",
"13","Georgia","2015","0.35","",
"13","Georgia","2016","0.11","Unstable",
"13","Georgia","2017","0.14","",
"15","Hawaii","2000","0.00","Unstable",
"15","Hawaii","2001","0.24","Unstable",
"15","Hawaii","2002","1.13","",
"15","Hawaii","2003","0.80","Unstable",
"15","Hawaii","2004","0.39","Unstable",
"15","Hawaii","2005","0.93","",
"15","Hawaii","2006","1.37","",
"15","Hawaii","2007","1.22","",
"15","Hawaii","2008","0.38","Unstable",
"15","Hawaii","2009","0.07","Unstable",
"15","Hawaii","2010","0.51","Unstable",
"15","Hawaii","2011","0.44","Unstable",
"15","Hawaii","2012","0.50","Unstable",
"15","Hawaii","2013","0.21","Unstable",
"15","Hawaii","2014","0.56","Unstable",
"15","Hawaii","2015","0.35","Unstable",
"15","Hawaii","2016","0.35","Unstable",
"15","Hawaii","2017","0.63","Unstable",
"16","Idaho","2000","0.23","Unstable",
"16","Idaho","2001","0.61","Unstable",
"16","Idaho","2002","0.30","Unstable",
"16","Idaho","2003","0.15","Unstable",
"16","Idaho","2004","0.29","Unstable",
"16","Idaho","2005","0.14","Unstable",
"16","Idaho","2006","0.14","Unstable",
"16","Idaho","2007","0.20","Unstable",
"16","Idaho","2008","0.07","Unstable",
"16","Idaho","2009","0.26","Unstable",
"16","Idaho","2010","0.13","Unstable",
"16","Idaho","2011","0.06","Unstable",
"16","Idaho","2012","0.06","Unstable",
"16","Idaho","2013","0.06","Unstable",
"16","Idaho","2014","0.00","Unstable",
"16","Idaho","2015","0.06","Unstable",
"16","Idaho","2016","0.06","Unstable",
"16","Idaho","2017","0.12","Unstable",
"17","Illinois","2000","0.02","Unstable",
"17","Illinois","2001","0.24","",
"17","Illinois","2002","0.02","Unstable",
"17","Illinois","2003","0.06","Unstable",
"17","Illinois","2004","0.03","Unstable",
"17","Illinois","2005","0.03","Unstable",
"17","Illinois","2006","0.03","Unstable",
"17","Illinois","2007","0.02","Unstable",
"17","Illinois","2008","0.07","Unstable",
"17","Illinois","2009","0.04","Unstable",
"17","Illinois","2010","0.01","Unstable",
"17","Illinois","2011","0.02","Unstable",
"17","Illinois","2012","0.03","Unstable",
"17","Illinois","2013","0.00","Unstable",
"17","Illinois","2014","0.00","Unstable",
"17","Illinois","2015","0.02","Unstable",
"17","Illinois","2016","0.02","Unstable",
"17","Illinois","2017","0.04","Unstable",
"18","Indiana","2000","0.00","Unstable",
"18","Indiana","2001","0.07","Unstable",
"18","Indiana","2002","0.03","Unstable",
"18","Indiana","2003","0.05","Unstable",
"18","Indiana","2004","0.03","Unstable",
"18","Indiana","2005","0.02","Unstable",
"18","Indiana","2006","0.03","Unstable",
"18","Indiana","2007","0.02","Unstable",
"18","Indiana","2008","0.00","Unstable",
"18","Indiana","2009","0.03","Unstable",
"18","Indiana","2010","0.02","Unstable",
"18","Indiana","2011","0.05","Unstable",
"18","Indiana","2012","0.03","Unstable",
"18","Indiana","2013","0.00","Unstable",
"18","Indiana","2014","0.00","Unstable",
"18","Indiana","2015","0.00","Unstable",
"18","Indiana","2016","0.05","Unstable",
"18","Indiana","2017","0.04","Unstable",
"19","Iowa","2000","0.07","Unstable",
"19","Iowa","2001","0.07","Unstable",
"19","Iowa","2002","0.14","Unstable",
"19","Iowa","2003","0.10","Unstable",
"19","Iowa","2004","0.37","Unstable",
"19","Iowa","2005","0.07","Unstable",
"19","Iowa","2006","0.10","Unstable",
"19","Iowa","2007","0.43","",
"19","Iowa","2008","0.03","Unstable",
"19","Iowa","2009","0.16","Unstable",
"19","Iowa","2010","0.00","Unstable",
"19","Iowa","2011","0.00","Unstable",
"19","Iowa","2012","0.03","Unstable",
"19","Iowa","2013","0.00","Unstable",
"19","Iowa","2014","0.16","Unstable",
"19","Iowa","2015","0.03","Unstable",
"19","Iowa","2016","0.03","Unstable",
"19","Iowa","2017","0.06","Unstable",
"20","Kansas","2000","0.04","Unstable",
"20","Kansas","2001","0.11","Unstable",
"20","Kansas","2002","0.15","Unstable",
"20","Kansas","2003","0.11","Unstable",
"20","Kansas","2004","0.11","Unstable",
"20","Kansas","2005","0.00","Unstable",
"20","Kansas","2006","0.00","Unstable",
"20","Kansas","2007","0.11","Unstable",
"20","Kansas","2008","0.04","Unstable",
"20","Kansas","2009","0.04","Unstable",
"20","Kansas","2010","0.03","Unstable",
"20","Kansas","2011","0.00","Unstable",
"20","Kansas","2012","0.21","Unstable",
