StateFIPS,State,Year,Value,Data Comment,Number of CWS,,Concentration
6,California,2014,93%,,568,,Concentration: (not-detected)
6,California,2015,7%,,35,,Concentration: (0-<=5)
6,California,2015,0%,,2,,Concentration: (>5)
6,California,2015,93%,,489,,Concentration: (not-detected)
6,California,2016,6%,,35,,Concentration: (0-<=5)
6,California,2016,1%,,4,,Concentration: (>5)
6,California,2016,94%,,579,,Concentration: (not-detected)
6,California,2017,6%,,34,,Concentration: (0-<=5)
6,California,2017,1%,,5,,Concentration: (>5)
6,California,2017,93%,,538,,Concentration: (not-detected)
6,California,2018,4%,,23,,Concentration: (0-<=5)
6,California,2018,1%,,3,,Concentration: (>5)
6,California,2018,96%,,565,,Concentration: (not-detected)
6,California,2019,4%,,22,,Concentration: (0-<=5)
6,California,2019,1%,,5,,Concentration: (>5)
6,California,2019,96%,,573,,Concentration: (not-detected)
6,California,2020,8%,,26,,Concentration: (0-<=5)
6,California,2020,2%,,6,,Concentration: (>5)
6,California,2020,90%,,295,,Concentration: (not-detected)
6,California,2021,8%,,33,,Concentration: (0-<=5)
6,California,2021,3%,,12,,Concentration: (>5)
6,California,2021,90%,,391,,Concentration: (not-detected)
6,California,2022,6%,,25,,Concentration: (0-<=5)
6,California,2022,4%,,16,,Concentration: (>5)
6,California,2022,90%,,382,,Concentration: (not-detected)
6,California,2023,7%,,73,,Concentration: (0-<=5)
6,California,2023,3%,,37,,Concentration: (>5)
6,California,2023,90%,,995,,Concentration: (not-detected)
8,Colorado,1999,4%,,7,,Concentration: (0-<=5)
8,Colorado,1999,0%,,0,,Concentration: (>5)
8,Colorado,1999,96%,,154,,Concentration: (not-detected)
8,Colorado,2000,4%,,9,,Concentration: (0-<=5)
8,Colorado,2000,0%,,0,,Concentration: (>5)
8,Colorado,2000,96%,,245,,Concentration: (not-detected)
8,Colorado,2001,3%,,5,,Concentration: (0-<=5)
8,Colorado,2001,1%,,1,,Concentration: (>5)
8,Colorado,2001,96%,,161,,Concentration: (not-detected)
8,Colorado,2002,3%,,6,,Concentration: (0-<=5)
8,Colorado,2002,0%,,0,,Concentration: (>5)
8,Colorado,2002,97%,,170,,Concentration: (not-detected)
8,Colorado,2003,2%,,6,,Concentration: (0-<=5)
8,Colorado,2003,0%,,1,,Concentration: (>5)
8,Colorado,2003,98%,,288,,Concentration: (not-detected)
8,Colorado,2004,1%,,4,,Concentration: (0-<=5)
8,Colorado,2004,0%,,1,,Concentration: (>5)
8,Colorado,2004,98%,,281,,Concentration: (not-detected)
8,Colorado,2005,1%,,1,,Concentration: (0-<=5)
8,Colorado,2005,1%,,1,,Concentration: (>5)
8,Colorado,2005,99%,,186,,Concentration: (not-detected)
8,Colorado,2006,1%,,3,,Concentration: (0-<=5)
8,Colorado,2006,0%,,1,,Concentration: (>5)
8,Colorado,2006,98%,,243,,Concentration: (not-detected)
8,Colorado,2007,2%,,6,,Concentration: (0-<=5)
8,Colorado,2007,0%,,0,,Concentration: (>5)
8,Colorado,2007,98%,,333,,Concentration: (not-detected)
8,Colorado,2008,1%,,5,,Concentration: (0-<=5)
8,Colorado,2008,0%,,1,,Concentration: (>5)
8,Colorado,2008,99%,,420,,Concentration: (not-detected)
8,Colorado,2009,1%,,6,,Concentration: (0-<=5)
8,Colorado,2009,0%,,0,,Concentration: (>5)
8,Colorado,2009,99%,,429,,Concentration: (not-detected)
