StateFIPS,State,Year,Value,Data Comment,Number of CWS,,Concentration
19,Iowa,2023,98%,,101,,Concentration: (not-detected)
20,Kansas,1999,2%,,5,,Concentration: (0-<=5)
20,Kansas,1999,0%,,1,,Concentration: (>5)
20,Kansas,1999,98%,,260,,Concentration: (not-detected)
20,Kansas,2000,3%,,8,,Concentration: (0-<=5)
20,Kansas,2000,0%,,1,,Concentration: (>5)
20,Kansas,2000,97%,,311,,Concentration: (not-detected)
20,Kansas,2001,1%,,3,,Concentration: (0-<=5)
20,Kansas,2001,0%,,1,,Concentration: (>5)
20,Kansas,2001,98%,,209,,Concentration: (not-detected)
20,Kansas,2002,2%,,5,,Concentration: (0-<=5)
20,Kansas,2002,1%,,1,,Concentration: (>5)
20,Kansas,2002,97%,,196,,Concentration: (not-detected)
20,Kansas,2003,1%,,3,,Concentration: (0-<=5)
20,Kansas,2003,0%,,0,,Concentration: (>5)
20,Kansas,2003,99%,,259,,Concentration: (not-detected)
20,Kansas,2004,1%,,2,,Concentration: (0-<=5)
20,Kansas,2004,0%,,0,,Concentration: (>5)
20,Kansas,2004,99%,,172,,Concentration: (not-detected)
20,Kansas,2005,4%,,8,,Concentration: (0-<=5)
20,Kansas,2005,1%,,1,,Concentration: (>5)
20,Kansas,2005,95%,,188,,Concentration: (not-detected)
20,Kansas,2006,2%,,4,,Concentration: (0-<=5)
20,Kansas,2006,1%,,2,,Concentration: (>5)
20,Kansas,2006,98%,,246,,Concentration: (not-detected)
20,Kansas,2007,3%,,5,,Concentration: (0-<=5)
20,Kansas,2007,1%,,1,,Concentration: (>5)
20,Kansas,2007,96%,,163,,Concentration: (not-detected)
20,Kansas,2008,3%,,5,,Concentration: (0-<=5)
20,Kansas,2008,1%,,1,,Concentration: (>5)
20,Kansas,2008,97%,,191,,Concentration: (not-detected)
20,Kansas,2009,1%,,3,,Concentration: (0-<=5)
20,Kansas,2009,0%,,1,,Concentration: (>5)
20,Kansas,2009,98%,,241,,Concentration: (not-detected)
20,Kansas,2010,2%,,3,,Concentration: (0-<=5)
20,Kansas,2010,1%,,2,,Concentration: (>5)
20,Kansas,2010,97%,,155,,Concentration: (not-detected)
20,Kansas,2011,1%,,2,,Concentration: (0-<=5)
20,Kansas,2011,0%,,0,,Concentration: (>5)
20,Kansas,2011,99%,,190,,Concentration: (not-detected)
20,Kansas,2012,1%,,3,,Concentration: (0-<=5)
20,Kansas,2012,0%,,1,,Concentration: (>5)
20,Kansas,2012,98%,,238,,Concentration: (not-detected)
20,Kansas,2013,3%,,5,,Concentration: (0-<=5)
20,Kansas,2013,0%,,0,,Concentration: (>5)
20,Kansas,2013,97%,,154,,Concentration: (not-detected)
20,Kansas,2014,4%,,6,,Concentration: (0-<=5)
20,Kansas,2014,1%,,1,,Concentration: (>5)
20,Kansas,2014,96%,,164,,Concentration: (not-detected)
20,Kansas,2015,1%,,2,,Concentration: (0-<=5)
20,Kansas,2015,0%,,1,,Concentration: (>5)
20,Kansas,2015,99%,,262,,Concentration: (not-detected)
20,Kansas,2016,1%,,2,,Concentration: (0-<=5)
20,Kansas,2016,0%,,0,,Concentration: (>5)
20,Kansas,2016,99%,,147,,Concentration: (not-detected)
20,Kansas,2017,2%,,3,,Concentration: (0-<=5)
20,Kansas,2017,0%,,0,,Concentration: (>5)
20,Kansas,2017,98%,,177,,Concentration: (not-detected)
20,Kansas,2018,1%,,2,,Concentration: (0-<=5)
20,Kansas,2018,0%,,0,,Concentration: (>5)
20,Kansas,2018,99%,,236,,Concentration: (not-detected)
20,Kansas,2019,1%,,2,,Concentration: (0-<=5)
20,Kansas,2019,0%,,0,,Concentration: (>5)
20,Kansas,2019,99%,,173,,Concentration: (not-detected)
20,Kansas,2020,1%,,2,,Concentration: (0-<=5)
20,Kansas,2020,0%,,0,,Concentration: (>5)
20,Kansas,2020,99%,,178,,Concentration: (not-detected)
20,Kansas,2021,1%,,2,,Concentration: (0-<=5)
20,Kansas,2021,0%,,0,,Concentration: (>5)
20,Kansas,2021,99%,,241,,Concentration: (not-detected)
20,Kansas,2022,3%,,5,,Concentration: (0-<=5)
20,Kansas,2022,0%,,0,,Concentration: (>5)
20,Kansas,2022,97%,,152,,Concentration: (not-detected)
20,Kansas,2023,1%,,2,,Concentration: (0-<=5)
20,Kansas,2023,0%,,0,,Concentration: (>5)
20,Kansas,2023,99%,,178,,Concentration: (not-detected)
21,Kentucky,1999,1%,,1,,Concentration: (0-<=5)
21,Kentucky,1999,0%,,0,,Concentration: (>5)
21,Kentucky,1999,99%,,193,,Concentration: (not-detected)
21,Kentucky,2000,1%,,1,,Concentration: (0-<=5)
21,Kentucky,2000,0%,,0,,Concentration: (>5)
21,Kentucky,2000,99%,,172,,Concentration: (not-detected)
21,Kentucky,2001,0%,,0,,Concentration: (0-<=5)
21,Kentucky,2001,0%,,0,,Concentration: (>5)
21,Kentucky,2001,100%,,120,,Concentration: (not-detected)
21,Kentucky,2002,1%,,1,,Concentration: (0-<=5)
21,Kentucky,2002,0%,,0,,Concentration: (>5)
21,Kentucky,2002,99%,,195,,Concentration: (not-detected)
21,Kentucky,2003,2%,,2,,Concentration: (0-<=5)
21,Kentucky,2003,0%,,0,,Concentration: (>5)
21,Kentucky,2003,98%,,83,,Concentration: (not-detected)
21,Kentucky,2004,4%,,5,,Concentration: (0-<=5)
21,Kentucky,2004,0%,,0,,Concentration: (>5)
21,Kentucky,2004,96%,,115,,Concentration: (not-detected)
21,Kentucky,2005,0%,,1,,Concentration: (0-<=5)
21,Kentucky,2005,0%,,0,,Concentration: (>5)
21,Kentucky,2005,100%,,203,,Concentration: (not-detected)
21,Kentucky,2006,0%,,0,,Concentration: (0-<=5)
21,Kentucky,2006,0%,,0,,Concentration: (>5)
21,Kentucky,2006,100%,,177,,Concentration: (not-detected)
21,Kentucky,2007,0%,,0,,Concentration: (0-<=5)
21,Kentucky,2007,0%,,0,,Concentration: (>5)
21,Kentucky,2007,100%,,196,,Concentration: (not-detected)
21,Kentucky,2008,0%,,1,,Concentration: (0-<=5)
21,Kentucky,2008,0%,,0,,Concentration: (>5)
21,Kentucky,2008,100%,,208,,Concentration: (not-detected)
21,Kentucky,2009,0%,,0,,Concentration: (0-<=5)
21,Kentucky,2009,0%,,0,,Concentration: (>5)
21,Kentucky,2009,100%,,162,,Concentration: (not-detected)
21,Kentucky,2010,0%,,0,,Concentration: (0-<=5)
21,Kentucky,2010,0%,,0,,Concentration: (>5)
21,Kentucky,2010,100%,,170,,Concentration: (not-detected)
21,Kentucky,2011,0%,,0,,Concentration: (0-<=5)
21,Kentucky,2011,0%,,0,,Concentration: (>5)
21,Kentucky,2011,100%,,207,,Concentration: (not-detected)
21,Kentucky,2012,1%,,1,,Concentration: (0-<=5)
21,Kentucky,2012,0%,,0,,Concentration: (>5)
21,Kentucky,2012,99%,,163,,Concentration: (not-detected)
21,Kentucky,2013,1%,,2,,Concentration: (0-<=5)
21,Kentucky,2013,0%,,0,,Concentration: (>5)
21,Kentucky,2013,99%,,158,,Concentration: (not-detected)
21,Kentucky,2014,1%,,2,,Concentration: (0-<=5)
21,Kentucky,2014,0%,,0,,Concentration: (>5)
21,Kentucky,2014,99%,,200,,Concentration: (not-detected)
21,Kentucky,2015,2%,,3,,Concentration: (0-<=5)
21,Kentucky,2015,0%,,0,,Concentration: (>5)
21,Kentucky,2015,98%,,151,,Concentration: (not-detected)
21,Kentucky,2016,1%,,2,,Concentration: (0-<=5)
21,Kentucky,2016,0%,,0,,Concentration: (>5)
21,Kentucky,2016,99%,,155,,Concentration: (not-detected)
21,Kentucky,2017,1%,,1,,Concentration: (0-<=5)
21,Kentucky,2017,0%,,0,,Concentration: (>5)
21,Kentucky,2017,100%,,201,,Concentration: (not-detected)
21,Kentucky,2018,1%,,2,,Concentration: (0-<=5)
21,Kentucky,2018,0%,,0,,Concentration: (>5)
21,Kentucky,2018,99%,,153,,Concentration: (not-detected)
21,Kentucky,2019,1%,,2,,Concentration: (0-<=5)
21,Kentucky,2019,0%,,0,,Concentration: (>5)
21,Kentucky,2019,99%,,151,,Concentration: (not-detected)
21,Kentucky,2020,1%,,1,,Concentration: (0-<=5)
21,Kentucky,2020,0%,,0,,Concentration: (>5)
21,Kentucky,2020,99%,,186,,Concentration: (not-detected)
21,Kentucky,2021,1%,,1,,Concentration: (0-<=5)
21,Kentucky,2021,0%,,0,,Concentration: (>5)
21,Kentucky,2021,99%,,150,,Concentration: (not-detected)
21,Kentucky,2022,1%,,2,,Concentration: (0-<=5)
21,Kentucky,2022,0%,,0,,Concentration: (>5)
21,Kentucky,2022,99%,,150,,Concentration: (not-detected)
21,Kentucky,2023,1%,,2,,Concentration: (0-<=5)
21,Kentucky,2023,0%,,0,,Concentration: (>5)
21,Kentucky,2023,99%,,190,,Concentration: (not-detected)
22,Louisiana,2000,2%,,1,,Concentration: (0-<=5)
22,Louisiana,2000,0%,,0,,Concentration: (>5)
22,Louisiana,2000,98%,,61,,Concentration: (not-detected)
22,Louisiana,2001,0%,,0,,Concentration: (0-<=5)
22,Louisiana,2001,0%,,0,,Concentration: (>5)
22,Louisiana,2001,100%,,69,,Concentration: (not-detected)
22,Louisiana,2002,1%,,1,,Concentration: (0-<=5)
22,Louisiana,2002,0%,,0,,Concentration: (>5)
22,Louisiana,2002,99%,,73,,Concentration: (not-detected)
22,Louisiana,2003,3%,,2,,Concentration: (0-<=5)
22,Louisiana,2003,0%,,0,,Concentration: (>5)
22,Louisiana,2003,97%,,62,,Concentration: (not-detected)
22,Louisiana,2004,1%,,1,,Concentration: (0-<=5)
22,Louisiana,2004,0%,,0,,Concentration: (>5)
22,Louisiana,2004,99%,,67,,Concentration: (not-detected)
22,Louisiana,2005,0%,,0,,Concentration: (0-<=5)
22,Louisiana,2005,0%,,0,,Concentration: (>5)
22,Louisiana,2005,100%,,55,,Concentration: (not-detected)
22,Louisiana,2006,0%,,0,,Concentration: (0-<=5)
22,Louisiana,2006,0%,,0,,Concentration: (>5)
22,Louisiana,2006,100%,,35,,Concentration: (not-detected)
22,Louisiana,2007,0%,,0,,Concentration: (0-<=5)
22,Louisiana,2007,0%,,0,,Concentration: (>5)
22,Louisiana,2007,100%,,57,,Concentration: (not-detected)
22,Louisiana,2008,0%,,0,,Concentration: (0-<=5)
22,Louisiana,2008,0%,,0,,Concentration: (>5)
22,Louisiana,2008,100%,,59,,Concentration: (not-detected)
22,Louisiana,2009,2%,,1,,Concentration: (0-<=5)
22,Louisiana,2009,0%,,0,,Concentration: (>5)
22,Louisiana,2009,98%,,65,,Concentration: (not-detected)
22,Louisiana,2010,1%,,1,,Concentration: (0-<=5)
22,Louisiana,2010,0%,,0,,Concentration: (>5)
22,Louisiana,2010,99%,,77,,Concentration: (not-detected)
22,Louisiana,2011,1%,,1,,Concentration: (0-<=5)
22,Louisiana,2011,0%,,0,,Concentration: (>5)
22,Louisiana,2011,99%,,69,,Concentration: (not-detected)
22,Louisiana,2012,2%,,1,,Concentration: (0-<=5)
22,Louisiana,2012,0%,,0,,Concentration: (>5)
22,Louisiana,2012,98%,,63,,Concentration: (not-detected)
22,Louisiana,2013,0%,,0,,Concentration: (0-<=5)
22,Louisiana,2013,0%,,0,,Concentration: (>5)
22,Louisiana,2013,100%,,66,,Concentration: (not-detected)
22,Louisiana,2014,0%,,0,,Concentration: (0-<=5)
22,Louisiana,2014,0%,,0,,Concentration: (>5)
22,Louisiana,2014,100%,,63,,Concentration: (not-detected)
22,Louisiana,2015,0%,,0,,Concentration: (0-<=5)
22,Louisiana,2015,0%,,0,,Concentration: (>5)
22,Louisiana,2015,100%,,57,,Concentration: (not-detected)
22,Louisiana,2016,0%,,0,,Concentration: (0-<=5)
22,Louisiana,2016,0%,,0,,Concentration: (>5)
22,Louisiana,2016,100%,,59,,Concentration: (not-detected)
22,Louisiana,2017,0%,,0,,Concentration: (0-<=5)
22,Louisiana,2017,0%,,0,,Concentration: (>5)
22,Louisiana,2017,100%,,65,,Concentration: (not-detected)
22,Louisiana,2018,0%,,0,,Concentration: (0-<=5)
22,Louisiana,2018,0%,,0,,Concentration: (>5)
22,Louisiana,2018,100%,,62,,Concentration: (not-detected)
22,Louisiana,2019,0%,,0,,Concentration: (0-<=5)
22,Louisiana,2019,0%,,0,,Concentration: (>5)
22,Louisiana,2019,100%,,53,,Concentration: (not-detected)
22,Louisiana,2020,0%,,0,,Concentration: (0-<=5)
22,Louisiana,2020,0%,,0,,Concentration: (>5)
22,Louisiana,2020,100%,,58,,Concentration: (not-detected)
22,Louisiana,2021,0%,,0,,Concentration: (0-<=5)
22,Louisiana,2021,0%,,0,,Concentration: (>5)
22,Louisiana,2021,100%,,57,,Concentration: (not-detected)
22,Louisiana,2022,0%,,0,,Concentration: (0-<=5)
22,Louisiana,2022,0%,,0,,Concentration: (>5)
22,Louisiana,2022,100%,,55,,Concentration: (not-detected)
23,Maine,1999,0%,,1,,Concentration: (0-<=5)
23,Maine,1999,0%,,0,,Concentration: (>5)
23,Maine,1999,100%,,216,,Concentration: (not-detected)
23,Maine,2000,0%,,0,,Concentration: (0-<=5)
23,Maine,2000,0%,,0,,Concentration: (>5)
23,Maine,2000,100%,,125,,Concentration: (not-detected)
23,Maine,2001,0%,,0,,Concentration: (0-<=5)
23,Maine,2001,0%,,0,,Concentration: (>5)
23,Maine,2001,100%,,105,,Concentration: (not-detected)
23,Maine,2002,0%,,0,,Concentration: (0-<=5)
23,Maine,2002,0%,,1,,Concentration: (>5)
23,Maine,2002,100%,,237,,Concentration: (not-detected)
23,Maine,2003,0%,,0,,Concentration: (0-<=5)
23,Maine,2003,0%,,0,,Concentration: (>5)
23,Maine,2003,100%,,194,,Concentration: (not-detected)
23,Maine,2004,0%,,0,,Concentration: (0-<=5)
23,Maine,2004,0%,,0,,Concentration: (>5)
23,Maine,2004,100%,,134,,Concentration: (not-detected)
23,Maine,2005,0%,,1,,Concentration: (0-<=5)
23,Maine,2005,0%,,0,,Concentration: (>5)
23,Maine,2005,100%,,243,,Concentration: (not-detected)
23,Maine,2006,1%,,2,,Concentration: (0-<=5)
23,Maine,2006,0%,,0,,Concentration: (>5)
23,Maine,2006,99%,,221,,Concentration: (not-detected)
23,Maine,2007,0%,,0,,Concentration: (0-<=5)
23,Maine,2007,0%,,0,,Concentration: (>5)
23,Maine,2007,100%,,134,,Concentration: (not-detected)
23,Maine,2008,0%,,0,,Concentration: (0-<=5)
23,Maine,2008,0%,,0,,Concentration: (>5)
23,Maine,2008,100%,,252,,Concentration: (not-detected)
23,Maine,2009,0%,,1,,Concentration: (0-<=5)
23,Maine,2009,0%,,0,,Concentration: (>5)
23,Maine,2009,100%,,221,,Concentration: (not-detected)
23,Maine,2010,0%,,0,,Concentration: (0-<=5)
23,Maine,2010,0%,,0,,Concentration: (>5)
23,Maine,2010,100%,,143,,Concentration: (not-detected)
23,Maine,2011,0%,,0,,Concentration: (0-<=5)
23,Maine,2011,0%,,0,,Concentration: (>5)
23,Maine,2011,100%,,229,,Concentration: (not-detected)
23,Maine,2012,0%,,0,,Concentration: (0-<=5)
23,Maine,2012,0%,,0,,Concentration: (>5)
23,Maine,2012,100%,,201,,Concentration: (not-detected)
23,Maine,2013,0%,,0,,Concentration: (0-<=5)
23,Maine,2013,0%,,0,,Concentration: (>5)
23,Maine,2013,100%,,143,,Concentration: (not-detected)
23,Maine,2014,0%,,0,,Concentration: (0-<=5)
23,Maine,2014,0%,,0,,Concentration: (>5)
23,Maine,2014,100%,,213,,Concentration: (not-detected)
23,Maine,2015,0%,,0,,Concentration: (0-<=5)
23,Maine,2015,0%,,0,,Concentration: (>5)
23,Maine,2015,100%,,199,,Concentration: (not-detected)
23,Maine,2016,0%,,0,,Concentration: (0-<=5)
23,Maine,2016,0%,,0,,Concentration: (>5)
23,Maine,2016,100%,,131,,Concentration: (not-detected)
23,Maine,2017,0%,,0,,Concentration: (0-<=5)
23,Maine,2017,0%,,0,,Concentration: (>5)
23,Maine,2017,100%,,212,,Concentration: (not-detected)
23,Maine,2018,0%,,0,,Concentration: (0-<=5)
23,Maine,2018,0%,,0,,Concentration: (>5)
23,Maine,2018,100%,,190,,Concentration: (not-detected)
23,Maine,2019,0%,,0,,Concentration: (0-<=5)
23,Maine,2019,0%,,0,,Concentration: (>5)
23,Maine,2019,100%,,147,,Concentration: (not-detected)
23,Maine,2020,0%,,0,,Concentration: (0-<=5)
23,Maine,2020,0%,,0,,Concentration: (>5)
23,Maine,2020,100%,,220,,Concentration: (not-detected)
23,Maine,2021,0%,,0,,Concentration: (0-<=5)
23,Maine,2021,0%,,0,,Concentration: (>5)
23,Maine,2021,100%,,206,,Concentration: (not-detected)
23,Maine,2022,0%,,0,,Concentration: (0-<=5)
23,Maine,2022,0%,,0,,Concentration: (>5)
23,Maine,2022,100%,,157,,Concentration: (not-detected)
23,Maine,2023,0%,,0,,Concentration: (0-<=5)
23,Maine,2023,0%,,0,,Concentration: (>5)
23,Maine,2023,100%,,219,,Concentration: (not-detected)
24,Maryland,1999,3%,,5,,Concentration: (0-<=5)
24,Maryland,1999,0%,,0,,Concentration: (>5)
24,Maryland,1999,97%,,156,,Concentration: (not-detected)
24,Maryland,2000,3%,,4,,Concentration: (0-<=5)
24,Maryland,2000,1%,,2,,Concentration: (>5)
24,Maryland,2000,96%,,146,,Concentration: (not-detected)
24,Maryland,2001,2%,,4,,Concentration: (0-<=5)
24,Maryland,2001,1%,,2,,Concentration: (>5)
24,Maryland,2001,96%,,158,,Concentration: (not-detected)
24,Maryland,2002,3%,,5,,Concentration: (0-<=5)
24,Maryland,2002,1%,,1,,Concentration: (>5)
24,Maryland,2002,96%,,157,,Concentration: (not-detected)
24,Maryland,2003,4%,,7,,Concentration: (0-<=5)
24,Maryland,2003,0%,,0,,Concentration: (>5)
24,Maryland,2003,96%,,187,,Concentration: (not-detected)
24,Maryland,2004,2%,,5,,Concentration: (0-<=5)
24,Maryland,2004,0%,,1,,Concentration: (>5)
24,Maryland,2004,98%,,268,,Concentration: (not-detected)
24,Maryland,2005,3%,,6,,Concentration: (0-<=5)
24,Maryland,2005,1%,,1,,Concentration: (>5)
24,Maryland,2005,96%,,179,,Concentration: (not-detected)
24,Maryland,2006,2%,,3,,Concentration: (0-<=5)
24,Maryland,2006,1%,,2,,Concentration: (>5)
24,Maryland,2006,97%,,163,,Concentration: (not-detected)
24,Maryland,2007,2%,,4,,Concentration: (0-<=5)
24,Maryland,2007,2%,,3,,Concentration: (>5)
24,Maryland,2007,96%,,183,,Concentration: (not-detected)
24,Maryland,2008,3%,,6,,Concentration: (0-<=5)
24,Maryland,2008,1%,,1,,Concentration: (>5)
24,Maryland,2008,96%,,187,,Concentration: (not-detected)
24,Maryland,2009,3%,,6,,Concentration: (0-<=5)
24,Maryland,2009,0%,,0,,Concentration: (>5)
24,Maryland,2009,97%,,211,,Concentration: (not-detected)
24,Maryland,2010,2%,,6,,Concentration: (0-<=5)
24,Maryland,2010,1%,,2,,Concentration: (>5)
24,Maryland,2010,97%,,259,,Concentration: (not-detected)
24,Maryland,2011,3%,,5,,Concentration: (0-<=5)
24,Maryland,2011,0%,,0,,Concentration: (>5)
24,Maryland,2011,97%,,182,,Concentration: (not-detected)
24,Maryland,2012,3%,,6,,Concentration: (0-<=5)
24,Maryland,2012,0%,,0,,Concentration: (>5)
24,Maryland,2012,97%,,182,,Concentration: (not-detected)
24,Maryland,2013,4%,,8,,Concentration: (0-<=5)
24,Maryland,2013,0%,,0,,Concentration: (>5)
24,Maryland,2013,96%,,181,,Concentration: (not-detected)
24,Maryland,2014,4%,,8,,Concentration: (0-<=5)
24,Maryland,2014,0%,,0,,Concentration: (>5)
24,Maryland,2014,96%,,183,,Concentration: (not-detected)
24,Maryland,2015,2%,,5,,Concentration: (0-<=5)
24,Maryland,2015,0%,,0,,Concentration: (>5)
24,Maryland,2015,98%,,197,,Concentration: (not-detected)
24,Maryland,2016,2%,,5,,Concentration: (0-<=5)
24,Maryland,2016,0%,,0,,Concentration: (>5)
24,Maryland,2016,98%,,239,,Concentration: (not-detected)
24,Maryland,2017,0%,,0,,Concentration: (0-<=5)
24,Maryland,2017,0%,,0,,Concentration: (>5)
24,Maryland,2017,100%,,180,,Concentration: (not-detected)
24,Maryland,2018,0%,,0,,Concentration: (0-<=5)
24,Maryland,2018,0%,,0,,Concentration: (>5)
24,Maryland,2018,100%,,104,,Concentration: (not-detected)
24,Maryland,2019,0%,,0,,Concentration: (0-<=5)
24,Maryland,2019,0%,,0,,Concentration: (>5)
24,Maryland,2019,100%,,211,,Concentration: (not-detected)
24,Maryland,2020,4%,,4,,Concentration: (0-<=5)
24,Maryland,2020,1%,,1,,Concentration: (>5)
24,Maryland,2020,95%,,91,,Concentration: (not-detected)
24,Maryland,2021,3%,,4,,Concentration: (0-<=5)
24,Maryland,2021,0%,,0,,Concentration: (>5)
24,Maryland,2021,97%,,133,,Concentration: (not-detected)
24,Maryland,2022,0%,,0,,Concentration: (0-<=5)
24,Maryland,2022,0%,,0,,Concentration: (>5)
24,Maryland,2022,100%,,137,,Concentration: (not-detected)
25,Massachusetts,1999,80%,,43,,Concentration: (0-<=5)
25,Massachusetts,1999,7%,,4,,Concentration: (>5)
25,Massachusetts,1999,13%,,7,,Concentration: (not-detected)
25,Massachusetts,2000,84%,,51,,Concentration: (0-<=5)
25,Massachusetts,2000,7%,,4,,Concentration: (>5)
25,Massachusetts,2000,10%,,6,,Concentration: (not-detected)
25,Massachusetts,2001,79%,,50,,Concentration: (0-<=5)
25,Massachusetts,2001,8%,,5,,Concentration: (>5)
25,Massachusetts,2001,13%,,8,,Concentration: (not-detected)
25,Massachusetts,2002,75%,,48,,Concentration: (0-<=5)
25,Massachusetts,2002,6%,,4,,Concentration: (>5)
25,Massachusetts,2002,19%,,12,,Concentration: (not-detected)
25,Massachusetts,2003,65%,,47,,Concentration: (0-<=5)
25,Massachusetts,2003,7%,,5,,Concentration: (>5)
25,Massachusetts,2003,28%,,20,,Concentration: (not-detected)
25,Massachusetts,2004,59%,,44,,Concentration: (0-<=5)
25,Massachusetts,2004,3%,,2,,Concentration: (>5)
25,Massachusetts,2004,39%,,29,,Concentration: (not-detected)
25,Massachusetts,2005,39%,,36,,Concentration: (0-<=5)
25,Massachusetts,2005,3%,,3,,Concentration: (>5)
25,Massachusetts,2005,58%,,53,,Concentration: (not-detected)
25,Massachusetts,2006,58%,,38,,Concentration: (0-<=5)
25,Massachusetts,2006,5%,,3,,Concentration: (>5)
25,Massachusetts,2006,37%,,24,,Concentration: (not-detected)
25,Massachusetts,2007,39%,,33,,Concentration: (0-<=5)
25,Massachusetts,2007,0%,,0,,Concentration: (>5)
25,Massachusetts,2007,61%,,52,,Concentration: (not-detected)
25,Massachusetts,2008,28%,,35,,Concentration: (0-<=5)
25,Massachusetts,2008,2%,,2,,Concentration: (>5)
25,Massachusetts,2008,71%,,89,,Concentration: (not-detected)
25,Massachusetts,2009,26%,,37,,Concentration: (0-<=5)
25,Massachusetts,2009,1%,,2,,Concentration: (>5)
25,Massachusetts,2009,72%,,102,,Concentration: (not-detected)
25,Massachusetts,2010,20%,,32,,Concentration: (0-<=5)
25,Massachusetts,2010,1%,,1,,Concentration: (>5)
25,Massachusetts,2010,80%,,128,,Concentration: (not-detected)
25,Massachusetts,2011,19%,,38,,Concentration: (0-<=5)
25,Massachusetts,2011,1%,,1,,Concentration: (>5)
25,Massachusetts,2011,80%,,156,,Concentration: (not-detected)
25,Massachusetts,2012,15%,,32,,Concentration: (0-<=5)
25,Massachusetts,2012,0%,,1,,Concentration: (>5)
25,Massachusetts,2012,85%,,184,,Concentration: (not-detected)
25,Massachusetts,2013,13%,,33,,Concentration: (0-<=5)
25,Massachusetts,2013,1%,,2,,Concentration: (>5)
25,Massachusetts,2013,86%,,221,,Concentration: (not-detected)
25,Massachusetts,2014,11%,,34,,Concentration: (0-<=5)
25,Massachusetts,2014,1%,,2,,Concentration: (>5)
25,Massachusetts,2014,89%,,285,,Concentration: (not-detected)
25,Massachusetts,2015,10%,,30,,Concentration: (0-<=5)
25,Massachusetts,2015,0%,,1,,Concentration: (>5)
25,Massachusetts,2015,90%,,273,,Concentration: (not-detected)
25,Massachusetts,2016,10%,,32,,Concentration: (0-<=5)
25,Massachusetts,2016,0%,,1,,Concentration: (>5)
25,Massachusetts,2016,90%,,297,,Concentration: (not-detected)
25,Massachusetts,2017,9%,,33,,Concentration: (0-<=5)
25,Massachusetts,2017,0%,,0,,Concentration: (>5)
25,Massachusetts,2017,91%,,336,,Concentration: (not-detected)
25,Massachusetts,2018,9%,,29,,Concentration: (0-<=5)
25,Massachusetts,2018,0%,,0,,Concentration: (>5)
25,Massachusetts,2018,91%,,304,,Concentration: (not-detected)
25,Massachusetts,2019,8%,,25,,Concentration: (0-<=5)
25,Massachusetts,2019,0%,,1,,Concentration: (>5)
25,Massachusetts,2019,92%,,306,,Concentration: (not-detected)
25,Massachusetts,2020,8%,,29,,Concentration: (0-<=5)
25,Massachusetts,2020,0%,,1,,Concentration: (>5)
25,Massachusetts,2020,92%,,342,,Concentration: (not-detected)
25,Massachusetts,2021,6%,,21,,Concentration: (0-<=5)
25,Massachusetts,2021,0%,,1,,Concentration: (>5)
25,Massachusetts,2021,94%,,352,,Concentration: (not-detected)
25,Massachusetts,2022,7%,,26,,Concentration: (0-<=5)
25,Massachusetts,2022,1%,,2,,Concentration: (>5)
25,Massachusetts,2022,93%,,358,,Concentration: (not-detected)
27,Minnesota,1999,24%,,82,,Concentration: (0-<=5)
27,Minnesota,1999,0%,,1,,Concentration: (>5)
27,Minnesota,1999,76%,,261,,Concentration: (not-detected)
27,Minnesota,2000,11%,,35,,Concentration: (0-<=5)
27,Minnesota,2000,0%,,0,,Concentration: (>5)
27,Minnesota,2000,89%,,286,,Concentration: (not-detected)
27,Minnesota,2001,11%,,30,,Concentration: (0-<=5)
27,Minnesota,2001,0%,,0,,Concentration: (>5)
27,Minnesota,2001,89%,,232,,Concentration: (not-detected)
27,Minnesota,2002,11%,,32,,Concentration: (0-<=5)
27,Minnesota,2002,0%,,1,,Concentration: (>5)
27,Minnesota,2002,89%,,266,,Concentration: (not-detected)
27,Minnesota,2003,13%,,41,,Concentration: (0-<=5)
27,Minnesota,2003,0%,,0,,Concentration: (>5)
27,Minnesota,2003,87%,,265,,Concentration: (not-detected)
27,Minnesota,2004,18%,,59,,Concentration: (0-<=5)
27,Minnesota,2004,0%,,0,,Concentration: (>5)
27,Minnesota,2004,82%,,261,,Concentration: (not-detected)
27,Minnesota,2005,14%,,59,,Concentration: (0-<=5)
27,Minnesota,2005,0%,,0,,Concentration: (>5)
27,Minnesota,2005,86%,,363,,Concentration: (not-detected)
27,Minnesota,2006,21%,,73,,Concentration: (0-<=5)
27,Minnesota,2006,0%,,0,,Concentration: (>5)
27,Minnesota,2006,79%,,279,,Concentration: (not-detected)
27,Minnesota,2007,13%,,48,,Concentration: (0-<=5)
27,Minnesota,2007,0%,,0,,Concentration: (>5)
27,Minnesota,2007,87%,,327,,Concentration: (not-detected)
27,Minnesota,2008,13%,,48,,Concentration: (0-<=5)
27,Minnesota,2008,0%,,0,,Concentration: (>5)
27,Minnesota,2008,87%,,308,,Concentration: (not-detected)
27,Minnesota,2009,2%,,10,,Concentration: (0-<=5)
27,Minnesota,2009,0%,,0,,Concentration: (>5)
27,Minnesota,2009,98%,,400,,Concentration: (not-detected)
27,Minnesota,2010,17%,,49,,Concentration: (0-<=5)
27,Minnesota,2010,0%,,0,,Concentration: (>5)
27,Minnesota,2010,83%,,244,,Concentration: (not-detected)
27,Minnesota,2011,9%,,37,,Concentration: (0-<=5)
27,Minnesota,2011,0%,,0,,Concentration: (>5)
27,Minnesota,2011,91%,,377,,Concentration: (not-detected)
